1.743466269234000051e-03,-2.618358449464000190e-03,7.892003177068999519e-04,9.999947408297999996e-01
3.483156908623000030e-03,-5.237442137269000125e-03,1.585982513348000063e-03,9.999789605172999529e-01
5.218997566215999827e-03,-7.857245145286000793e-03,2.390312543379000121e-03,9.999526549638000361e-01
6.950914085751999996e-03,-1.047776147269000036e-02,3.202155835102000071e-03,9.999158202097999659e-01
8.678832510431999658e-03,-1.309898503460000044e-02,4.021477287800999910e-03,9.998684524365000215e-01
1.040267908669000041e-02,-1.572090966069999984e-02,4.848241273904999905e-03,9.998105479658999650e-01
1.212238026799999924e-02,-1.834352909392999997e-02,5.682411640190000029e-03,9.997421032621000014e-01
1.383786271860000007e-02,-2.096683698908999999e-02,6.523951708997000054e-03,9.996631149322999788e-01
1.554905331732999926e-02,-2.359082691155000092e-02,7.372824279496000173e-03,9.995735797271999568e-01
1.725587916139999928e-02,-2.621549233591000116e-02,8.228991628966000546e-03,9.994734945423999761e-01
1.895826757015999994e-02,-2.884082664467000137e-02,9.092415514113999161e-03,9.993628564187000407e-01
2.065614608892999901e-02,-3.146682312692000022e-02,9.963057172423000346e-03,9.992416625436000288e-01
2.234944249276000008e-02,-3.409347497706000096e-02,1.084087732353000016e-02,9.991099102517000397e-01
2.403808479021999830e-02,-3.672077529349000030e-02,1.172583617062999961e-02,9.989675970257999582e-01
2.572200122723999893e-02,-3.934871707733000185e-02,1.261789340194000020e-02,9.988147204978999882e-01
2.740112029085000137e-02,-4.197729323114000183e-02,1.351700819211999922e-02,9.986512784497999506e-01
2.907537071302999931e-02,-4.460649655765999699e-02,1.442313920382999951e-02,9.984772688140000074e-01
3.074468147447999983e-02,-4.723631975853000153e-02,1.533624458925000010e-02,9.982926896749999557e-01
3.240898180842999993e-02,-4.986675543309999903e-02,1.625628199160999987e-02,9.980975392698000492e-01
3.406820120443999900e-02,-5.249779607709999935e-02,1.718320854682999985e-02,9.978918159890000084e-01
3.572226941222000213e-02,-5.512943408151999708e-02,1.811698088515999866e-02,9.976755183772999525e-01
3.737111644538999855e-02,-5.776166173128000070e-02,1.905755513277999913e-02,9.974486451352000405e-01
3.901467258534999788e-02,-6.039447120410999792e-02,2.000488691354999904e-02,9.972111951190000267e-01
4.065286838501999678e-02,-6.302785456930000418e-02,2.095893135074999858e-02,9.969631673422999496e-01
4.228563467267999754e-02,-6.566180378652999861e-02,2.191964306876000024e-02,9.967045609765999847e-01
4.391290255577000312e-02,-6.829631070467999387e-02,2.288697619494000149e-02,9.964353753525000412e-01
4.553460342466000149e-02,-7.093136706067000585e-02,2.386088436139999908e-02,9.961556099602999481e-01
4.715066895651000289e-02,-7.356696447829000340e-02,2.484132070690000041e-02,9.958652644508999563e-01
4.876103111901999854e-02,-7.620309446709000456e-02,2.582823787869999860e-02,9.955643386371000325e-01
5.036562217426999999e-02,-7.883974842119000070e-02,2.682158803450999940e-02,9.952528324938999527e-01
5.196437468246999786e-02,-8.147691761818999512e-02,2.782132284443999959e-02,9.949307461599999902e-01
5.355722150580000118e-02,-8.411459321804000411e-02,2.882739349298999929e-02,9.945980799382000415e-01
5.514409581218999989e-02,-8.675276626194000640e-02,2.983975068110999995e-02,9.942548342965999986e-01
5.672493107911000254e-02,-8.939142767126999345e-02,3.085834462818999938e-02,9.939010098695999496e-01
5.829966109735999769e-02,-9.203056824647000422e-02,3.188312507422000341e-02,9.935366074582999696e-01
5.986821997485999858e-02,-9.467017866601000475e-02,3.291404128187999656e-02,9.931616280319000012e-01
6.143054214044999656e-02,-9.731024948531000196e-02,3.395104203871000120e-02,9.927760727283000408e-01
6.298656234763999606e-02,-9.995077113571000649e-02,3.499407565932000086e-02,9.923799428553999880e-01
6.453621567839999684e-02,-1.025917339233999998e-01,3.604308998761000110e-02,9.919732398913999605e-01
6.607943754695999594e-02,-1.052331280285000031e-01,3.709803239901000166e-02,9.915559654860000016e-01
